DK1;DK2;EE;FI;LT;LV;NO;SE
2932;2162;1410;13354;1477;1219;21318;22822
3002;2216;1465;13654;1581;1284;21487;23343
3353;2409;1440;13675;1589;1275;21695;23826
3262;2368;1426;13630;1534;1231;21547;23271
2961;2193;1383;13300;1473;1199;21231;22330
2757;2030;1323;12894;1390;1142;20488;21446
2562;1905;1244;12861;1260;1042;19848;20768
2442;1776;1160;12530;1147;944;19180;19844
2337;1641;1093;11983;1067;871;18735;18900
2152;1547;1044;11578;1019;825;18315;18385
2074;1472;1025;11274;995;805;17926;18155
2020;1394;1018;11129;985;795;17689;18089
2032;1394;1017;11099;986;802;17536;18041
2023;1414;1028;11164;1010;829;17548;18248
2063;1470;1066;11499;1084;873;17640;18385
2184;1537;1134;11499;1180;950;18039;18888
2408;1644;1184;11805;1259;1012;18666;19635
2569;1776;1244;11817;1369;1084;19239;20081
2680;1927;1277;11801;1426;1121;19966;20832
2735;2014;1278;11867;1407;1115;20559;21160
2727;2064;1263;11786;1378;1088;20664;21457
2660;2063;1255;11610;1351;1072;20531;21388
2608;2023;1244;11476;1323;1062;20325;21154
2601;1979;1240;11493;1310;1056;20124;21025
2625;1974;1263;11982;1333;1076;20188;21124
2778;2110;1338;12471;1456;1168;20620;21955
3129;2320;1328;12568;1477;1180;21029;22386
3070;2276;1300;12299;1429;1150;20631;21994
2858;2140;1260;11838;1377;1118;20271;21385
2679;2028;1212;11413;1302;1070;19740;20529
2534;1946;1150;11572;1195;1000;19245;19895
2382;1855;1083;11433;1098;922;18764;19332
2244;1762;1031;11040;1019;852;18242;18740
2126;1661;997;10623;977;810;17790;18167
2071;1529;977;10305;952;789;17431;17880
2023;1485;968;10220;940;783;17280;17641
1996;1459;969;10179;931;786;17198;17714
2004;1472;986;10251;955;809;17204;17835
2028;1567;1016;10449;1013;846;17229;17983
2141;1642;1062;10324;1080;907;17429;18302
